unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
2000,2000_5,127002400,127000000,23 - Albany (Downtown),15 - Woodbury Toll,ticketSystem1,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,25.32,,32.91
2000,2000_5,126005000,126002800,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,12 - Carteret/Rahway,ticketSystem1,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,22.08,24.15,
2000,2000_5,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T08:24:07Z,2023-12-10T08:33:57Z,3.77,4.05,
2000,2000_5,126004200,126005000,15E - Newark/Jersey City,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,ticketSystem1,2023-12-10T08:50:35Z,2023-12-10T09:01:05Z,7.65,8.2,
2000,2000_5,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T10:05:34Z,2023-12-10T10:30:08Z,6.74,,8.76
2000,2000_5,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-10T10:33:31Z,2023-12-10T10:33:31Z,6.74,,8.76
2000,2000_5,126005000,126000600,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,4 - Camden/Philadelphia/NJ Aquarium,ticketSystem1,2023-12-10T10:33:31Z,2023-12-10T10:33:31Z,50.35,55.25,
2000,2000_5,111900700,,CBB : Commodore Barry Br,,barrier,2023-12-10T10:33:31Z,,37.5,37.5,
2000,2000_5,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T18:50:33Z,2023-12-10T21:14:13Z,41.86,45.7,
2000,2000_5,127004600,127004000,31 - Utica,29 - Canajoharie,ticketSystem1,2023-12-09T21:36:07Z,2023-12-09T22:39:02Z,8.8,,11.44
2000,2000_5,127004000,127004200,29 - Canajoharie,29A - Little Falls,ticketSystem1,2023-12-09T22:39:18Z,2023-12-09T23:06:46Z,3.75,,4.88
2000,2000_5,127004200,127003800,29A - Little Falls,28 - Fultonville,ticketSystem1,2023-12-09T23:06:53Z,2023-12-09T23:53:56Z,6.46,,8.4
2000,2000_5,127003600,127003200,27 - Amsterdam,25A - Schenectady I-88,ticketSystem1,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,3.35,,4.36
2000,2000_5,127003000,127002600,25 - Schenectady E.,23 - Albany (Downtown),ticketSystem2,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,3.83,,4.99
2000,2000_5,127002400,127000000,23 - Albany (Downtown),15 - Woodbury Toll,ticketSystem1,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,25.32,,32.91
2000,2000_5,126005000,126002800,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,12 - Carteret/Rahway,ticketSystem1,2023-12-10T00:19:23Z,2023-12-10T00:19:23Z,22.08,24.15,
2000,2000_5,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T08:24:07Z,2023-12-10T08:33:57Z,3.77,4.05,
2000,2000_5,126004200,126005000,15E - Newark/Jersey City,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,ticketSystem1,2023-12-10T08:50:35Z,2023-12-10T09:01:05Z,7.65,8.2,
2000,2000_5,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T10:05:34Z,2023-12-10T10:30:08Z,6.74,,8.76
2000,2000_5,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-10T10:33:31Z,2023-12-10T10:33:31Z,6.74,,8.76
2000,2000_5,126005000,126000600,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,4 - Camden/Philadelphia/NJ Aquarium,ticketSystem1,2023-12-10T10:33:31Z,2023-12-10T10:33:31Z,50.35,55.25,
2000,2000_5,111900700,,CBB : Commodore Barry Br,,barrier,2023-12-10T10:33:31Z,,37.5,37.5,
2000,2000_5,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T18:50:33Z,2023-12-10T21:14:13Z,41.86,45.7,
2000,2000_6,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-11T11:23:46Z,2023-12-11T11:48:18Z,6.74,,8.76
2000,2000_6,126005400,126002800,18W - Geo Washington Br/US 46/I-80,12 - Carteret/Rahway,ticketSystem1,2023-12-11T12:54:34Z,2023-12-11T13:23:51Z,28.6,31.3,
2000,2000_6,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-11T13:43:19Z,2023-12-11T13:53:09Z,3.77,4.05,
